id 	 label 	 feature
339	bin339	nuclear_DNA
340	bin340	nuclear_DNA
341	bin341	nuclear_DNA
342	bin342	nuclear_DNA
343	bin343	nuclear_DNA
344	bin344	nuclear_DNA
345	bin345	nuclear_DNA
346	bin346	nuclear_DNA
347	bin347	nuclear_DNA
348	bin348	nuclear_DNA
349	bin349	nuclear_DNA
350	bin350	nuclear_DNA
351	bin351	nuclear_DNA
352	bin352	nuclear_DNA
353	bin353	nuclear_DNA
354	bin354	nuclear_DNA
355	bin355	nuclear_DNA
356	bin356	nuclear_DNA
357	bin357	nuclear_DNA
358	bin358	nuclear_DNA
359	bin359	nuclear_DNA
360	bin360	nuclear_DNA
361	bin361	nuclear_DNA
362	bin362	nuclear_DNA
363	bin363	nuclear_DNA
364	bin364	nuclear_DNA
365	bin365	nuclear_DNA
366	bin366	nuclear_DNA
367	bin367	nuclear_DNA
368	bin368	nuclear_DNA
369	bin369	nuclear_DNA
370	bin370	nuclear_DNA
371	bin371	nuclear_DNA
372	bin372	nuclear_DNA
373	bin373	nuclear_DNA
374	bin374	nuclear_DNA
375	bin375	centromere
376	bin376	centromere
377	bin377	centromere
378	bin378	centromere
379	bin379	centromere
380	bin380	nuclear_DNA
381	bin381	nuclear_DNA
382	bin382	nuclear_DNA
383	bin383	nuclear_DNA
384	bin384	nuclear_DNA
385	bin385	nuclear_DNA
386	bin386	nuclear_DNA
387	bin387	nuclear_DNA
388	bin388	nuclear_DNA
389	bin389	nuclear_DNA
390	bin390	nuclear_DNA
391	bin391	nuclear_DNA
392	bin392	nuclear_DNA
393	bin393	nuclear_DNA
394	bin394	nuclear_DNA
395	bin395	nuclear_DNA
396	bin396	nuclear_DNA
397	bin397	nuclear_DNA
398	bin398	nuclear_DNA
399	bin399	nuclear_DNA
400	bin400	nuclear_DNA
401	bin401	nuclear_DNA
402	bin402	nuclear_DNA
403	bin403	nuclear_DNA
404	bin404	nuclear_DNA
405	bin405	nuclear_DNA
406	bin406	nuclear_DNA
407	bin407	nuclear_DNA
408	bin408	nuclear_DNA
409	bin409	nuclear_DNA
410	bin410	nuclear_DNA
411	bin411	nuclear_DNA
412	bin412	nuclear_DNA
413	bin413	nuclear_DNA
414	bin414	nuclear_DNA
415	bin415	nuclear_DNA
416	bin416	nuclear_DNA
417	bin417	nuclear_DNA
418	bin418	nuclear_DNA
419	bin419	nuclear_DNA
420	bin420	nuclear_DNA
421	bin421	nuclear_DNA
422	bin422	nuclear_DNA
423	bin423	nuclear_DNA
424	bin424	nuclear_DNA
425	bin425	nuclear_DNA
426	bin426	nuclear_DNA
427	bin427	nuclear_DNA
428	bin428	nuclear_DNA
429	bin429	nuclear_DNA
430	bin430	nuclear_DNA
431	bin431	nuclear_DNA
432	bin432	nuclear_DNA
433	bin433	nuclear_DNA
434	bin434	nuclear_DNA
435	bin435	nuclear_DNA
436	bin436	nuclear_DNA
437	bin437	nuclear_DNA
438	bin438	nuclear_DNA
439	bin439	nuclear_DNA
440	bin440	nuclear_DNA
441	bin441	nuclear_DNA
442	bin442	nuclear_DNA
443	bin443	nuclear_DNA
444	bin444	nuclear_DNA
445	bin445	nuclear_DNA
446	bin446	nuclear_DNA
447	bin447	nuclear_DNA
448	bin448	nuclear_DNA
449	bin449	nuclear_DNA
450	bin450	nuclear_DNA
